class,plant,n_images,is_healthy
Tomato__Tomato_YellowLeaf__Curl_Virus,Tomato Tomato YellowLeaf Curl Virus,6416,False
Tomato_Bacterial_spot,Tomato Bacterial spot,4254,False
Tomato_Late_blight,Tomato Late blight,3816,False
Tomato_Septoria_leaf_spot,Tomato Septoria leaf spot,3542,False
Tomato_Spider_mites_Two_spotted_spider_mite,Tomato Spider mites Two spotted spider mite,3352,False
Tomato_healthy,Tomato healthy,3182,True
Pepper__bell___healthy,Pepper bell,2954,True
Tomato__Target_Spot,Tomato Target Spot,2808,False
Potato___Early_blight,Potato,2000,False
Tomato_Early_blight,Tomato Early blight,2000,False
Potato___Late_blight,Potato,2000,False
Pepper__bell___Bacterial_spot,Pepper bell,1994,False
Tomato_Leaf_Mold,Tomato Leaf Mold,1904,False
Tomato__Tomato_mosaic_virus,Tomato Tomato mosaic virus,746,False
Potato___healthy,Potato,304,True
